,MLA Name,MLA Train Accuracy Mean,MLA Test Accuracy Mean
14,SVC,0.8372659176029963,0.8261194029850746
4,RandomForestClassifier,0.8917602996254683,0.8242537313432836
2,ExtraTreesClassifier,0.8951310861423221,0.823134328358209
17,DecisionTreeClassifier,0.8951310861423221,0.823134328358209
3,GradientBoostingClassifier,0.8661048689138576,0.8227611940298507
15,NuSVC,0.8353932584269662,0.8227611940298507
1,BaggingClassifier,0.8902621722846442,0.8223880597014924
13,KNeighborsClassifier,0.8518726591760298,0.8156716417910447
0,AdaBoostClassifier,0.8205992509363295,0.8119402985074627
5,GaussianProcessClassifier,0.8719101123595505,0.8111940298507463
18,ExtraTreeClassifier,0.8951310861423221,0.810820895522388
20,QuadraticDiscriminantAnalysis,0.8215355805243446,0.807089552238806
8,RidgeClassifierCV,0.7966292134831461,0.7940298507462688
19,LinearDiscriminantAnalysis,0.7968164794007492,0.7940298507462688
16,LinearSVC,0.79812734082397,0.7932835820895523
6,LogisticRegressionCV,0.797003745318352,0.7906716417910448
12,GaussianNB,0.7947565543071162,0.7817164179104477
11,BernoulliNB,0.7857677902621722,0.7753731343283582
10,Perceptron,0.7702247191011236,0.7652985074626865
9,SGDClassifier,0.7632958801498129,0.7574626865671642
7,PassiveAggressiveClassifier,0.7357677902621724,0.7179104477611941
