,MLA Name,MLA Train Accuracy Mean,MLA Test Accuracy Mean
3,GradientBoostingClassifier,0.9183520599250936,0.8373134328358208
19,LinearDiscriminantAnalysis,0.8325842696629213,0.8261194029850746
8,RidgeClassifierCV,0.8327715355805244,0.8246268656716417
6,LogisticRegressionCV,0.8294007490636703,0.8242537313432836
0,AdaBoostClassifier,0.8470037453183521,0.816044776119403
4,RandomForestClassifier,0.9692883895131086,0.8126865671641792
1,BaggingClassifier,0.9715355805243446,0.8115671641791045
12,GaussianNB,0.8033707865168539,0.7973880597014926
2,ExtraTreesClassifier,0.9870786516853933,0.7966417910447762
11,BernoulliNB,0.794569288389513,0.7850746268656716
17,DecisionTreeClassifier,0.9870786516853933,0.7805970149253733
18,ExtraTreeClassifier,0.9870786516853933,0.7667910447761194
16,LinearSVC,0.7786516853932585,0.7649253731343284
15,NuSVC,0.9134831460674159,0.7522388059701492
5,GaussianProcessClassifier,0.9599250936329587,0.7414179104477612
14,SVC,0.896441947565543,0.7414179104477612
13,KNeighborsClassifier,0.8029962546816478,0.73544776119403
7,PassiveAggressiveClassifier,0.6556179775280898,0.6604477611940298
10,Perceptron,0.646629213483146,0.6563432835820896
9,SGDClassifier,0.651685393258427,0.6496268656716419
20,QuadraticDiscriminantAnalysis,0.6376404494382022,0.6298507462686567
